"selection1_name","selection1_url","selection1_main"
"شکست استقلال در یک بازی دوستانه","https://www.varzesh3.com/news/2016893/%D8%B4%DA%A9%D8%B3%D8%AA-%D8%A7%D8%B3%D8%AA%D9%82%D9%84%D8%A7%D9%84-%D8%AF%D8%B1-%DB%8C%DA%A9-%D8%A8%D8%A7%D8%B2%DB%8C-%D8%AF%D9%88%D8%B3%D8%AA%D8%A7%D9%86%D9%87","استقلال در دیدار تدارکاتی برابر آریو اسلامشهر تن به شکست داد."
"تایید شد: لالیگا از دو فصل دیگر در آمریکا!‏","https://www.varzesh3.com/news/2016892/%D8%AA%D8%A7%DB%8C%DB%8C%D8%AF-%D8%B4%D8%AF-%D9%84%D8%A7%D9%84%DB%8C%DA%AF%D8%A7-%D8%A7%D8%B2-%D8%AF%D9%88-%D9%81%D8%B5%D9%84-%D8%AF%DB%8C%DA%AF%D8%B1-%D8%AF%D8%B1-%D8%A7%D9%93%D9%85%D8%B1%DB%8C%DA%A9%D8%A7","رئیس لالیگا تایید کرد که از دو فصل آینده برخی مسابقات لیگ ‏اسپانیا در آمریکا برگزار خواهد شد. ‏"
"انصاری‌فرد از بازی خاص محروم شد","https://www.varzesh3.com/news/2016891/%D8%A7%D9%86%D8%B5%D8%A7%D8%B1%DB%8C-%D9%81%D8%B1%D8%AF-%D8%A7%D8%B2-%D8%A8%D8%A7%D8%B2%DB%8C-%D8%AE%D8%A7%D8%B5-%D9%85%D8%AD%D8%B1%D9%88%D9%85-%D8%B4%D8%AF","مهاجم ایرانی آریس دور از فهرست نفرات تیمش مقابل المپیاکوس است."
"امروز بگو و بخند، فردا جنگ و جدل!","https://www.varzesh3.com/news/2016890/%D8%A7%D9%85%D8%B1%D9%88%D8%B2-%D8%A8%DA%AF%D9%88-%D9%88-%D8%A8%D8%AE%D9%86%D8%AF-%D9%81%D8%B1%D8%AF%D8%A7-%D8%AC%D9%86%DA%AF-%D9%88-%D8%AC%D8%AF%D9%84","دو تیم پیکان و مس رفسنجان با یک پرواز به کرمان رسیدند."
"فتح‌الله‌زاده نمی‌خواست ساپینتو روی نیمکت بنشیند","https://www.varzesh3.com/news/2016889/%D9%81%D8%AA%D8%AD-%D8%A7%D9%84%D9%84%D9%87-%D8%B2%D8%A7%D8%AF%D9%87-%D9%86%D9%85%DB%8C-%D8%AE%D9%88%D8%A7%D8%B3%D8%AA-%D8%B3%D8%A7%D9%BE%DB%8C%D9%86%D8%AA%D9%88-%D8%B1%D9%88%DB%8C-%D9%86%DB%8C%D9%85%DA%A9%D8%AA-%D8%A8%D9%86%D8%B4%DB%8C%D9%86%D8%AF","خسرو حیدری مربی سابق استقلال از رازهای اختلافاتی که بین سرمربی وقت استقلال ریکاردو ساپینتو علی فتح‌الله‌زاده وجود داشت پرده‌برداری کرد."
"شکست تلخ، یاران قربانی در نزدیکی سقوط","https://www.varzesh3.com/news/2016888/%D8%B4%DA%A9%D8%B3%D8%AA-%D8%AA%D9%84%D8%AE-%DB%8C%D8%A7%D8%B1%D8%A7%D9%86-%D9%82%D8%B1%D8%A8%D8%A7%D9%86%DB%8C-%D8%AF%D8%B1-%D9%86%D8%B2%D8%AF%DB%8C%DA%A9%DB%8C-%D8%B3%D9%82%D9%88%D8%B7","اورنبورگ در حضور 79 دقیقه‌ای ملی‌پوش ایرانی خود مقابل دینامو مسکو مغلوب شد."
"الهلال از سبیل متنفر است - تا اطلاع ثانوی","https://www.varzesh3.com/news/2016886/%D8%A7%D9%84%D9%87%D9%84%D8%A7%D9%84-%D8%A7%D8%B2-%D8%B3%D8%A8%DB%8C%D9%84-%D9%85%D8%AA%D9%86%D9%81%D8%B1-%D8%A7%D8%B3%D8%AA-%D8%AA%D8%A7-%D8%A7%D8%B7%D9%84%D8%A7%D8%B9-%D8%AB%D8%A7%D9%86%D9%88%DB%8C","فرصتی که سرگئی میلینکوویچ ساویچ از دست داد، می‌توانست فینالیست لیگ قهرمانان آسیا را عوض کند."
"حزباوی جلوی چشم ابراهیمی جشن می‌گیرد","https://www.varzesh3.com/news/2016884/%D8%AD%D8%B2%D8%A8%D8%A7%D9%88%DB%8C-%D8%AC%D9%84%D9%88%DB%8C-%DA%86%D8%B4%D9%85-%D8%A7%D8%A8%D8%B1%D8%A7%D9%87%DB%8C%D9%85%DB%8C-%D8%AC%D8%B4%D9%86-%D9%85%DB%8C-%DA%AF%DB%8C%D8%B1%D8%AF","الشمال و السد با بازیکنان ایرانی خود دیدار مقابل هم را آغاز می‌کنند."
"نقش‌ اول جنجال ال‌کلاسیکو: توپ از خط رد نشد!‏","https://www.varzesh3.com/news/2016881/%D9%86%D9%82%D8%B4-%D8%A7%D9%88%D9%84-%D8%AC%D9%86%D8%AC%D8%A7%D9%84-%D8%A7%D9%84-%DA%A9%D9%84%D8%A7%D8%B3%DB%8C%DA%A9%D9%88-%D8%AA%D9%88%D9%BE-%D8%A7%D8%B2-%D8%AE%D8%B7-%D8%B1%D8%AF-%D9%86%D8%B4%D8%AF","آندره لونین، دروازه‌بان رئال، برای اولین بار درباره صحنه جنالی ‏ال‌کلاسیکو صحبت کرد و گفت شوت لامین یامال از خط دروازه عبور ‏نکرده بود. ‏"
"ابهام در میزبانی استقلال در لیگ دسته اول","https://www.varzesh3.com/news/2016880/%D8%A7%D8%A8%D9%87%D8%A7%D9%85-%D8%AF%D8%B1-%D9%85%DB%8C%D8%B2%D8%A8%D8%A7%D9%86%DB%8C-%D8%A7%D8%B3%D8%AA%D9%82%D9%84%D8%A7%D9%84-%D8%AF%D8%B1-%D9%84%DB%8C%DA%AF-%D8%AF%D8%B3%D8%AA%D9%87-%D8%A7%D9%88%D9%84","هنوز به صورت دقیق محل میزبانی استقلال ملاثانی از رقبایش در بازی‌های خانگی مشخص نشده است."
"لیگ ملت‌ها: قهرمان المپیک پرستاره‌تر از همیشه","https://www.varzesh3.com/news/2016879/%D9%84%DB%8C%DA%AF-%D9%85%D9%84%D8%AA-%D9%87%D8%A7-%D9%82%D9%87%D8%B1%D9%85%D8%A7%D9%86-%D8%A7%D9%84%D9%85%D9%BE%DB%8C%DA%A9-%D9%BE%D8%B1%D8%B3%D8%AA%D8%A7%D8%B1%D9%87-%D8%AA%D8%B1-%D8%A7%D8%B2-%D9%87%D9%85%DB%8C%D8%B4%D9%87","لیست قهرمان و میزبان المپیک برای لیگ ملت‌های والیبال مشخص شد."
"لیگ ملت‌ها: لیست مهمان غیرمنتظره المپیک پاریس","https://www.varzesh3.com/news/2016878/%D9%84%DB%8C%DA%AF-%D9%85%D9%84%D8%AA-%D9%87%D8%A7-%D9%84%DB%8C%D8%B3%D8%AA-%D9%85%D9%87%D9%85%D8%A7%D9%86-%D8%BA%DB%8C%D8%B1%D9%85%D9%86%D8%AA%D8%B8%D8%B1%D9%87-%D8%A7%D9%84%D9%85%D9%BE%DB%8C%DA%A9-%D9%BE%D8%A7%D8%B1%DB%8C%D8%B3","لیست تیم ملی والیبال آلمان برای رقابت‌های لیگ ملت‌ها مشخص شد."
"لیگ ملت‌ها: ۲۹ ستاره منتخب پرافتخارترین تیم جهان","https://www.varzesh3.com/news/2016876/%D9%84%DB%8C%DA%AF-%D9%85%D9%84%D8%AA-%D9%87%D8%A7-%DB%B2%DB%B9-%D8%B3%D8%AA%D8%A7%D8%B1%D9%87-%D9%85%D9%86%D8%AA%D8%AE%D8%A8-%D9%BE%D8%B1%D8%A7%D9%81%D8%AA%D8%AE%D8%A7%D8%B1%D8%AA%D8%B1%DB%8C%D9%86-%D8%AA%DB%8C%D9%85-%D8%AC%D9%87%D8%A7%D9%86","برناردو رزنده از لیست بازیکنان تیم ملی برزیل برای لیگ‌ ملت‌ها رونمایی کرد."
"چادرملو علیه چهار صحنه داوری نیم فصل دوم","https://www.varzesh3.com/news/2016874/%DA%86%D8%A7%D8%AF%D8%B1%D9%85%D9%84%D9%88-%D8%B9%D9%84%DB%8C%D9%87-%DA%86%D9%87%D8%A7%D8%B1-%D8%B5%D8%AD%D9%86%D9%87-%D8%AF%D8%A7%D9%88%D8%B1%DB%8C-%D9%86%DB%8C%D9%85-%D9%81%D8%B5%D9%84-%D8%AF%D9%88%D9%85","شاگردان سعید اخباری که تا اینجای فصل در جمع مدعیان صعود به لیگ برتر قرار گرفته‌اند، همچنان بابت موضوع داوری و هفته‌های باقی‌مانده نگران هستند."
"لیگ ملت‌ها: لیست ژاپن با حضور یک ایرانی","https://www.varzesh3.com/news/2016875/%D9%84%DB%8C%DA%AF-%D9%85%D9%84%D8%AA-%D9%87%D8%A7-%D9%84%DB%8C%D8%B3%D8%AA-%DA%98%D8%A7%D9%BE%D9%86-%D8%A8%D8%A7-%D8%AD%D8%B6%D9%88%D8%B1-%DB%8C%DA%A9-%D8%A7%DB%8C%D8%B1%D8%A7%D9%86%DB%8C","ژاپنی‌ها هم لیست نهایی خود را برای لیگ ملت‌های والیبال اعلام کردند."
"اینقدر اغراق نکنید، مسی کند بود و دو گل معمولی زد!‏","https://www.varzesh3.com/news/2016873/%D8%A7%DB%8C%D9%86%D9%82%D8%AF%D8%B1-%D8%A7%D8%BA%D8%B1%D8%A7%D9%82-%D9%86%DA%A9%D9%86%DB%8C%D8%AF-%D9%85%D8%B3%DB%8C-%DA%A9%D9%86%D8%AF-%D8%A8%D9%88%D8%AF-%D9%88-%D8%AF%D9%88-%DA%AF%D9%84-%D9%85%D8%B9%D9%88%D9%84%DB%8C-%D8%B2%D8%AF","الکسی لالاس، اسطوره فوتبال آمریکا، می‌گوید رسانه‌ها درباره عملکرد ‏مسی در اینترمیامی بیش از حد اغراق می‌کنند. ‏"
"مس کرمان یک قدم به قهرمانی نزدیک‌تر شد","https://www.varzesh3.com/news/2016872/%D9%85%D8%B3-%DA%A9%D8%B1%D9%85%D8%A7%D9%86-%DB%8C%DA%A9-%D9%82%D8%AF%D9%85-%D8%A8%D9%87-%D9%82%D9%87%D8%B1%D9%85%D8%A7%D9%86%DB%8C-%D9%86%D8%B2%D8%AF%DB%8C%DA%A9-%D8%AA%D8%B1-%D8%B4%D8%AF","صنعت مس کرمان هجدهمین پیروزی خود را ثبت کرد تا یک قدم دیگر به قهرمانی نزدیک‌تر شود."
"خلیفی به لاپورتا: این ایده احمقانه را کنار بگذارید","https://www.varzesh3.com/news/2016871/%D8%A7%D9%81%D8%B4%D8%A7%DB%8C-%DA%AF%D9%81%D8%AA%DA%AF%D9%88%DB%8C-%D8%AE%D8%B5%D9%88%D8%B5%DB%8C-%D8%A7%D9%84%D8%AE%D9%84%DB%8C%D9%81%DB%8C-%D8%A8%D8%A7-%D9%84%D8%A7%D9%BE%D9%88%D8%B1%D8%AA%D8%A7","ناصر الخلیفی، رئیس اتحادیه باشگاه‌های اروپا، مجددا درخواست کرده تا ایده برگزاری سوپرلیگ اروپا متوقف شود."
"6 طلا برای ووشوی ایران در انتخابی جام جهانی","https://www.varzesh3.com/news/2016870/6-%D8%B7%D9%84%D8%A7-%D8%A8%D8%B1%D8%A7%DB%8C-%D9%88%D9%88%D8%B4%D9%88%DB%8C-%D8%A7%DB%8C%D8%B1%D8%A7%D9%86-%D8%AF%D8%B1-%D8%A7%D9%86%D8%AA%D8%AE%D8%A7%D8%A8%DB%8C-%D8%AC%D8%A7%D9%85-%D8%AC%D9%87%D8%A7%D9%86%DB%8C","تیم ملی ووشوی ایران در روز نخست مسابقات انتخابی جام‌ جهانی به ۱۰ مدال رنگارنگ دست یافت."
"رسمی: مطهری در تبریز معارفه شد!","https://www.varzesh3.com/news/2016869/%D8%B1%D8%B3%D9%85%DB%8C-%D9%85%D8%B7%D9%87%D8%B1%DB%8C-%D8%AF%D8%B1-%D8%AA%D8%A8%D8%B1%DB%8C%D8%B2-%D9%85%D8%B9%D8%A7%D8%B1%D9%81%D9%87-%D8%B4%D8%AF","حمید مطهری به عنوان مربی جدید تیم تراکتور منصوب شد."
