"News_Title","News_Text"
"آرائوخو دلگیر است: به خاطر یک اشتباه نفروشیدم!‏","رادیو کاتالونیا می‌گوید رونالد آرائوخو از رفتار بارسلونا ناراحت و نگران ‏است، چرا که به نزدیکان او اطلاع داده شده که مدافع اروگوئه‌ای ‏تابستان در لیست فروش قرار می‌گیرد. ‏"
"حریف ایران در نیمه نهایی مشخص شد","تیم ملی ازبکستان موفق شد در ثانیه‌های پایانی مصاف با ویتنام حساب کار را به سود خودش عوض کند."
"در لیگ برتر داوران صدرنشین جدول امتیازات هستند!","کمک داور مطرح فوتبال ایران مدعی است که اشتباهات تاثیرگذار داوری در لیگ برتر را می‌پذیرد و قبول دارد اما مشکل در جایی دیگر است."
"چلسی دیگر تحمل پوچتینو را ندارد: تحقیرمان کردی!‏","روزنامه تلگراف اعلام کرد مائوریسیو پوچتینو بعد از باخت 5-0 چلسی ‏مقابل آرسنال در یک قدمی اخراج شدن قرار دارد. ‏"
"نساجی: ساکت باشید، ساکت حرف می‌زند","ساکت الهامی این روزها و بعد از برد حساس مقابل تراکتور با تمام توان و تمرکز در انتظار دیدار مقابل ذوب‌آهن است."
"یک انتصاب جدید‌ و مهم در فدراسیون والیبال ایران","رئیس فدراسیون والیبال ایران طی حکمی امیرحسین منظمی را به عنوان سرپرست دبیر کلی فدراسیون منصوب کرد."
"شکست استقلال در یک بازی دوستانه","استقلال در دیدار تدارکاتی برابر آریو اسلامشهر تن به شکست داد."
"تایید شد: لالیگا از دو فصل دیگر در آمریکا!‏","رئیس لالیگا تایید کرد که از دو فصل آینده برخی مسابقات لیگ ‏اسپانیا در آمریکا برگزار خواهد شد. ‏"
"انصاری‌فرد از بازی خاص محروم شد","مهاجم ایرانی آریس دور از فهرست نفرات تیمش مقابل المپیاکوس است."
"امروز بگو و بخند، فردا جنگ و جدل!","دو تیم پیکان و مس رفسنجان با یک پرواز به کرمان رسیدند."
"فتح‌الله‌زاده نمی‌خواست ساپینتو روی نیمکت بنشیند","خسرو حیدری مربی سابق استقلال از رازهای اختلافاتی که بین سرمربی وقت استقلال ریکاردو ساپینتو علی فتح‌الله‌زاده وجود داشت پرده‌برداری کرد."
"شکست تلخ، یاران قربانی در نزدیکی سقوط","اورنبورگ در حضور 79 دقیقه‌ای ملی‌پوش ایرانی خود مقابل دینامو مسکو مغلوب شد."
"الهلال از سبیل متنفر است - تا اطلاع ثانوی","فرصتی که سرگئی میلینکوویچ ساویچ از دست داد، می‌توانست فینالیست لیگ قهرمانان آسیا را عوض کند."
"حزباوی جلوی چشم ابراهیمی جشن می‌گیرد","الشمال و السد با بازیکنان ایرانی خود دیدار مقابل هم را آغاز می‌کنند."
"نقش‌ اول جنجال ال‌کلاسیکو: توپ از خط رد نشد!‏","آندره لونین، دروازه‌بان رئال، برای اولین بار درباره صحنه جنالی ‏ال‌کلاسیکو صحبت کرد و گفت شوت لامین یامال از خط دروازه عبور ‏نکرده بود. ‏"
"ابهام در میزبانی استقلال در لیگ دسته اول","هنوز به صورت دقیق محل میزبانی استقلال ملاثانی از رقبایش در بازی‌های خانگی مشخص نشده است."
"لیگ ملت‌ها: قهرمان المپیک پرستاره‌تر از همیشه","لیست قهرمان و میزبان المپیک برای لیگ ملت‌های والیبال مشخص شد."
"لیگ ملت‌ها: لیست مهمان غیرمنتظره المپیک پاریس","لیست تیم ملی والیبال آلمان برای رقابت‌های لیگ ملت‌ها مشخص شد."
"لیگ ملت‌ها: ۲۹ ستاره منتخب پرافتخارترین تیم جهان","برناردو رزنده از لیست بازیکنان تیم ملی برزیل برای لیگ‌ ملت‌ها رونمایی کرد."
"چادرملو علیه چهار صحنه داوری نیم فصل دوم","شاگردان سعید اخباری که تا اینجای فصل در جمع مدعیان صعود به لیگ برتر قرار گرفته‌اند، همچنان بابت موضوع داوری و هفته‌های باقی‌مانده نگران هستند."
